date,entry_bar,exit_bar,hold_bars,direction,atm_strike,entry_ce,entry_pe,entry_fut,exit_ce,exit_pe,exit_fut,entry_spread,exit_spread,lot_size,gross_pnl,charges,net_pnl,exit_reason,month
20251208,2025-12-08 14:15:00+05:30,2025-12-08 14:18:00+05:30,3,+1 (short synth),59900,427.0,851.0,59451.0,424.0,861.55,59458.0,25.0,4.45,35,719.25,1427.18,-707.93,Revert,2025-12
20251208,2025-12-08 14:30:00+05:30,2025-12-08 14:37:00+05:30,7,+1 (short synth),59900,440.55,839.0,59474.0,439.55,846.0,59489.6,27.55,3.95,35,826.0,1427.76,-601.76,Revert,2025-12
20251208,2025-12-08 14:43:00+05:30,2025-12-08 14:52:00+05:30,9,+1 (short synth),59900,442.75,835.05,59482.6,462.9,790.65,59568.8,25.1,3.45,35,757.75,1427.79,-670.04,Revert,2025-12
20251208,2025-12-08 14:55:00+05:30,2025-12-08 15:24:00+05:30,29,+1 (short synth),59900,459.55,802.5,59532.0,439.0,820.0,59507.0,25.05,12.0,35,456.75,1427.46,-970.71,EOD,2025-12
20251209,2025-12-09 09:51:00+05:30,2025-12-09 09:52:00+05:30,1,+1 (short synth),59300,631.95,634.85,59271.6,635.75,635.0,59297.2,25.5,3.55,35,768.25,1422.69,-654.44,Revert,2025-12
20251209,2025-12-09 11:01:00+05:30,2025-12-09 11:04:00+05:30,3,+1 (short synth),59300,762.9,501.6,59535.2,769.1,502.7,59555.6,26.1,10.8,35,535.5,1427.73,-892.23,EOD,2025-12
20251210,2025-12-10 11:19:00+05:30,2025-12-10 11:22:00+05:30,3,+1 (short synth),59600,492.55,673.85,59393.2,476.15,702.85,59370.4,25.5,2.9,35,791.0,1416.77,-625.77,Revert,2025-12
20251210,2025-12-10 11:39:00+05:30,2025-12-10 11:59:00+05:30,20,+1 (short synth),59600,442.85,756.4,59261.0,451.2,743.0,59304.8,25.45,3.4,35,771.75,1416.87,-645.12,Revert,2025-12
20251210,2025-12-10 12:04:00+05:30,2025-12-10 12:07:00+05:30,3,+1 (short synth),59600,449.1,750.2,59272.6,461.95,720.85,59338.0,26.3,3.1,35,812.0,1417.11,-605.11,Revert,2025-12
20251210,2025-12-10 12:31:00+05:30,2025-12-10 12:48:00+05:30,17,+1 (short synth),59600,417.3,806.1,59186.0,426.9,797.85,59225.8,25.2,3.25,35,768.25,1417.39,-649.14,Revert,2025-12
20251210,2025-12-10 13:07:00+05:30,2025-12-10 13:12:00+05:30,5,+1 (short synth),59600,441.7,757.0,59259.6,442.4,759.65,59282.0,25.1,0.75,35,852.25,1416.8,-564.55,Revert,2025-12
20251210,2025-12-10 13:17:00+05:30,2025-12-10 13:21:00+05:30,4,+1 (short synth),59600,437.35,771.45,59235.0,454.35,734.45,59317.6,30.9,2.3,35,1001.0,1417.15,-416.15,Revert,2025-12
20251210,2025-12-10 14:29:00+05:30,2025-12-10 14:32:00+05:30,3,+1 (short synth),59600,413.15,809.85,59177.8,423.1,781.3,59237.0,25.5,4.8,35,724.5,1417.19,-692.69,Revert,2025-12
20251210,2025-12-10 14:39:00+05:30,2025-12-10 15:02:00+05:30,23,+1 (short synth),59600,429.9,765.05,59238.0,448.65,737.45,59307.8,26.85,3.4,35,820.75,1416.06,-595.31,Revert,2025-12
20251210,2025-12-10 15:07:00+05:30,2025-12-10 15:24:00+05:30,17,+1 (short synth),59600,437.5,755.5,59254.6,426.55,794.55,59209.6,27.4,22.4,35,175.0,1416.23,-1241.23,EOD,2025-12
20251211,2025-12-11 09:37:00+05:30,2025-12-11 09:42:00+05:30,5,+1 (short synth),59400,513.95,635.75,59251.2,465.5,694.9,59167.8,27.0,2.8,35,847.0,1412.56,-565.56,Revert,2025-12
20251212,2025-12-12 10:30:00+05:30,2025-12-12 10:31:00+05:30,1,+1 (short synth),59700,464.0,568.0,59571.0,467.65,564.6,59606.0,25.0,-2.95,35,978.25,1409.14,-430.89,Revert,2025-12
20251219,2025-12-19 10:10:00+05:30,2025-12-19 10:13:00+05:30,3,+1 (short synth),59300,364.65,430.8,59206.0,351.8,446.95,59201.0,27.85,3.85,35,840.0,1382.25,-542.25,Revert,2025-12
20260105,2026-01-05 11:15:00+05:30,2026-01-05 11:19:00+05:30,4,-1 (long synth),60400,635.25,567.1,60496.4,624.05,574.2,60452.0,-28.25,-2.15,30,783.0,1255.92,-472.92,Revert,2026-01
20260116,2026-01-16 13:49:00+05:30,2026-01-16 14:19:00+05:30,30,-1 (long synth),59900,608.35,364.05,60170.4,595.7,364.3,60140.6,-26.1,-9.2,30,507.0,1234.01,-727.01,MaxHold,2026-01
20260116,2026-01-16 14:38:00+05:30,2026-01-16 15:05:00+05:30,27,-1 (long synth),59900,590.05,357.25,60166.8,608.95,356.95,60157.0,-34.0,-5.0,30,870.0,1232.16,-362.16,Revert,2026-01
20260122,2026-01-22 12:07:00+05:30,2026-01-22 12:09:00+05:30,2,+1 (short synth),59600,172.95,685.6,59060.8,174.95,674.3,59104.0,26.55,-3.35,30,897.0,1207.04,-310.04,Revert,2026-01
20260123,2026-01-23 11:41:00+05:30,2026-01-23 11:43:00+05:30,2,+1 (short synth),59300,197.6,406.25,59065.0,205.45,390.85,59115.0,26.35,-0.4,30,802.5,1188.99,-386.49,Revert,2026-01
20260127,2026-01-27 10:11:00+05:30,2026-01-27 10:12:00+05:30,1,+1 (short synth),58200,495.25,76.95,58590.6,499.95,76.55,58626.4,27.7,-3.0,30,921.0,1178.67,-257.67,Revert,2026-01
20260127,2026-01-27 10:53:00+05:30,2026-01-27 10:54:00+05:30,1,-1 (long synth),58200,309.1,124.15,58438.6,335.95,109.15,58427.2,-53.65,-0.4,30,1597.5,1166.19,431.31,Revert,2026-01
20260127,2026-01-27 12:16:00+05:30,2026-01-27 12:17:00+05:30,1,-1 (long synth),58200,519.0,27.7,58719.6,538.15,27.4,58714.8,-28.3,-4.05,30,727.5,1179.04,-451.54,Revert,2026-01
20260127,2026-01-27 13:34:00+05:30,2026-01-27 13:36:00+05:30,2,-1 (long synth),58200,565.25,11.15,58780.0,518.65,14.15,58703.4,-25.9,1.1,30,810.0,1182.19,-372.19,Revert,2026-01
20260127,2026-01-27 14:59:00+05:30,2026-01-27 15:03:00+05:30,4,-1 (long synth),58200,843.45,1.35,59075.0,866.5,0.85,59070.0,-32.9,-4.35,30,856.5,1206.3,-349.8,Revert,2026-01
20260129,2026-01-29 10:41:00+05:30,2026-01-29 10:55:00+05:30,14,-1 (long synth),59700,947.3,848.65,59827.4,1016.05,800.65,59915.4,-28.75,-0.0,30,862.5,1286.79,-424.29,Revert,2026-01
20260129,2026-01-29 13:28:00+05:30,2026-01-29 13:30:00+05:30,2,-1 (long synth),59700,1073.35,698.95,60100.2,1082.35,690.0,60089.4,-25.8,2.95,30,862.5,1289.74,-427.24,Revert,2026-01
20260129,2026-01-29 14:35:00+05:30,2026-01-29 14:41:00+05:30,6,-1 (long synth),59700,1138.85,660.8,60204.2,1170.0,657.2,60215.6,-26.15,-2.8,30,700.5,1293.46,-592.96,Revert,2026-01
20260129,2026-01-29 14:42:00+05:30,2026-01-29 14:59:00+05:30,17,-1 (long synth),59700,1171.25,658.55,60239.2,1150.0,653.65,60195.0,-26.5,1.35,30,835.5,1296.2,-460.7,Revert,2026-01
20260129,2026-01-29 15:05:00+05:30,2026-01-29 15:14:00+05:30,9,-1 (long synth),59700,1135.15,661.0,60199.8,1131.75,671.0,60160.0,-25.65,0.75,30,792.0,1293.13,-501.13,Revert,2026-01
20260129,2026-01-29 15:17:00+05:30,2026-01-29 15:24:00+05:30,7,-1 (long synth),59700,1157.2,657.3,60225.4,1172.6,653.0,60237.2,-25.5,-17.6,30,237.0,1294.87,-1057.87,EOD,2026-01
20260130,2026-01-30 09:31:00+05:30,2026-01-30 09:33:00+05:30,2,-1 (long synth),59900,864.9,899.1,59894.4,867.55,898.65,59870.0,-28.6,-1.1,30,825.0,1285.65,-460.65,Revert,2026-01
20260130,2026-01-30 09:40:00+05:30,2026-01-30 09:58:00+05:30,18,-1 (long synth),59900,896.0,880.2,59941.0,974.8,802.85,60073.0,-25.2,-1.05,30,724.5,1287.31,-562.81,Revert,2026-01
20260130,2026-01-30 10:33:00+05:30,2026-01-30 10:41:00+05:30,8,-1 (long synth),59900,970.85,827.8,60068.6,996.0,802.5,60094.2,-25.55,-0.7,30,745.5,1291.08,-545.58,Revert,2026-01
20260130,2026-01-30 12:12:00+05:30,2026-01-30 12:14:00+05:30,2,-1 (long synth),59900,960.0,856.5,60029.4,974.0,841.6,60035.8,-25.9,-3.4,30,675.0,1291.68,-616.68,Revert,2026-01
20260130,2026-01-30 12:48:00+05:30,2026-01-30 13:07:00+05:30,19,-1 (long synth),59900,957.85,846.0,60038.0,905.8,902.1,59908.0,-26.15,-4.3,30,655.5,1290.93,-635.43,Revert,2026-01
20260130,2026-01-30 14:17:00+05:30,2026-01-30 14:45:00+05:30,28,-1 (long synth),59900,943.1,824.7,60045.8,877.0,873.3,59903.0,-27.4,0.7,30,843.0,1288.5,-445.5,Revert,2026-01
20260201,2026-02-01 12:19:00+05:30,2026-02-01 12:20:00+05:30,1,+1 (short synth),59900,627.2,1106.15,59395.2,588.55,1198.05,59288.8,25.85,1.7,30,724.5,1274.98,-550.48,Revert,2026-02
20260201,2026-02-01 12:23:00+05:30,2026-02-01 12:24:00+05:30,1,+1 (short synth),59900,534.1,1261.2,59133.2,521.15,1310.7,59105.8,39.7,4.65,30,1051.5,1274.93,-223.43,Revert,2026-02
20260201,2026-02-01 12:31:00+05:30,2026-02-01 12:34:00+05:30,3,-1 (long synth),59900,346.25,2000.4,58282.0,452.15,1649.65,58706.4,-36.15,-3.9,30,967.5,1299.7,-332.2,Revert,2026-02
20260201,2026-02-01 12:35:00+05:30,2026-02-01 12:41:00+05:30,6,+1 (short synth),59900,476.25,1470.0,58861.0,542.15,1333.75,59105.0,45.25,3.4,30,1255.5,1281.05,-25.55,Revert,2026-02
20260201,2026-02-01 12:48:00+05:30,2026-02-01 12:50:00+05:30,2,+1 (short synth),59900,518.35,1273.65,59090.0,527.4,1345.6,59078.4,54.7,3.4,30,1539.0,1273.96,265.04,Revert,2026-02
20260201,2026-02-01 12:51:00+05:30,2026-02-01 12:55:00+05:30,4,-1 (long synth),59900,530.0,1371.8,59091.0,534.3,1302.0,59135.0,-32.8,-2.7,30,903.0,1281.8,-378.8,Revert,2026-02
20260201,2026-02-01 12:56:00+05:30,2026-02-01 12:59:00+05:30,3,-1 (long synth),59900,543.8,1302.0,59170.0,569.8,1218.95,59255.0,-28.2,-4.15,30,721.5,1279.15,-557.65,Revert,2026-02
20260201,2026-02-01 13:04:00+05:30,2026-02-01 13:06:00+05:30,2,-1 (long synth),59900,553.65,1236.6,59244.4,546.8,1261.55,59182.2,-27.35,3.05,30,912.0,1276.47,-364.47,Revert,2026-02
20260201,2026-02-01 13:25:00+05:30,2026-02-01 13:31:00+05:30,6,+1 (short synth),59900,553.65,1237.15,59190.4,540.3,1300.7,59136.2,26.1,3.4,30,681.0,1275.59,-594.59,Revert,2026-02
20260201,2026-02-01 13:32:00+05:30,2026-02-01 14:01:00+05:30,29,+1 (short synth),59900,528.0,1265.0,59118.6,539.2,1298.25,59139.4,44.4,1.55,30,1285.5,1274.52,10.98,Revert,2026-02
20260201,2026-02-01 14:04:00+05:30,2026-02-01 14:24:00+05:30,20,+1 (short synth),59900,521.25,1298.1,59094.0,538.55,1307.1,59129.0,29.15,2.45,30,801.0,1275.98,-474.98,Revert,2026-02
20260201,2026-02-01 14:30:00+05:30,2026-02-01 14:31:00+05:30,1,+1 (short synth),59900,527.55,1299.4,59100.0,538.45,1299.15,59142.2,28.15,-2.9,30,931.5,1276.62,-345.12,Revert,2026-02
20260201,2026-02-01 14:32:00+05:30,2026-02-01 14:36:00+05:30,4,+1 (short synth),59900,536.75,1266.1,59126.4,550.15,1254.35,59194.8,44.25,1.0,30,1297.5,1275.36,22.14,Revert,2026-02
20260201,2026-02-01 14:40:00+05:30,2026-02-01 14:48:00+05:30,8,+1 (short synth),59900,530.05,1286.3,59104.0,503.25,1370.0,59029.2,39.75,4.05,30,1071.0,1275.94,-204.94,Revert,2026-02
20260201,2026-02-01 14:49:00+05:30,2026-02-01 15:17:00+05:30,28,+1 (short synth),59900,493.45,1387.4,58979.2,398.0,1637.55,58657.2,26.85,3.25,30,708.0,1278.4,-570.4,Revert,2026-02
20260201,2026-02-01 15:18:00+05:30,2026-02-01 15:24:00+05:30,6,+1 (short synth),59900,397.0,1644.25,58627.2,385.0,1660.0,58600.0,25.55,25.0,30,16.5,1283.83,-1267.33,EOD,2026-02
20260203,2026-02-03 10:16:00+05:30,2026-02-03 10:26:00+05:30,10,-1 (long synth),60300,720.1,931.1,60115.6,774.55,874.05,60201.2,-26.6,-0.7,30,777.0,1281.39,-504.39,Revert,2026-02
20260203,2026-02-03 11:19:00+05:30,2026-02-03 11:33:00+05:30,14,-1 (long synth),60300,787.45,815.1,60299.8,838.9,749.3,60390.6,-27.45,-1.0,30,793.5,1281.06,-487.56,Revert,2026-02
20260203,2026-02-03 12:16:00+05:30,2026-02-03 12:21:00+05:30,5,-1 (long synth),60300,800.2,783.85,60342.2,802.0,778.2,60326.0,-25.85,-2.2,30,709.5,1280.46,-570.96,Revert,2026-02
20260204,2026-02-04 09:57:00+05:30,2026-02-04 10:25:00+05:30,28,-1 (long synth),60300,747.6,682.7,60390.0,742.4,675.75,60368.0,-25.1,-1.35,30,712.5,1270.33,-557.83,Revert,2026-02
20260204,2026-02-04 10:27:00+05:30,2026-02-04 10:35:00+05:30,8,-1 (long synth),60300,737.0,681.7,60381.2,716.7,691.3,60330.2,-25.9,-4.8,30,633.0,1269.36,-636.36,Revert,2026-02
20260204,2026-02-04 12:16:00+05:30,2026-02-04 12:24:00+05:30,8,-1 (long synth),60300,721.9,648.75,60399.8,706.65,655.35,60353.0,-26.65,-1.7,30,748.5,1266.25,-517.75,Revert,2026-02
20260204,2026-02-04 12:44:00+05:30,2026-02-04 12:51:00+05:30,7,-1 (long synth),60300,695.0,656.6,60370.0,668.0,682.7,60287.6,-31.6,-2.3,30,879.0,1264.39,-385.39,Revert,2026-02
20260209,2026-02-09 11:48:00+05:30,2026-02-09 11:55:00+05:30,7,-1 (long synth),60800,493.4,576.55,60742.0,474.45,587.0,60690.0,-25.15,-2.55,30,678.0,1250.67,-572.67,Revert,2026-02
20260209,2026-02-09 12:16:00+05:30,2026-02-09 12:17:00+05:30,1,-1 (long synth),60800,491.75,566.6,60753.4,495.55,561.0,60739.4,-28.25,-4.85,30,702.0,1250.04,-548.04,Revert,2026-02
20260209,2026-02-09 14:12:00+05:30,2026-02-09 14:19:00+05:30,7,-1 (long synth),60800,468.45,580.2,60716.6,485.0,560.2,60724.0,-28.35,0.8,30,874.5,1248.72,-374.22,Revert,2026-02
20260209,2026-02-09 14:37:00+05:30,2026-02-09 15:07:00+05:30,30,-1 (long synth),60800,476.45,573.35,60729.2,481.4,580.0,60707.2,-26.1,-5.8,30,609.0,1249.02,-640.02,MaxHold,2026-02
20260210,2026-02-10 15:02:00+05:30,2026-02-10 15:07:00+05:30,5,-1 (long synth),60800,444.35,516.45,60754.8,434.45,527.4,60710.0,-26.9,-2.95,30,718.5,1243.12,-524.62,Revert,2026-02
20260211,2026-02-11 13:57:00+05:30,2026-02-11 14:17:00+05:30,20,-1 (long synth),60700,482.5,410.95,60799.0,509.8,392.7,60820.0,-27.45,-2.9,30,736.5,1239.08,-502.58,Revert,2026-02
20260216,2026-02-16 15:14:00+05:30,2026-02-16 15:15:00+05:30,1,-1 (long synth),60400,793.1,244.65,60976.2,791.7,245.15,60951.0,-27.75,-4.45,30,699.0,1252.36,-553.36,Revert,2026-02
20260220,2026-02-20 14:05:00+05:30,2026-02-20 14:07:00+05:30,2,+1 (short synth),60900,547.3,205.15,61209.4,574.1,195.0,61278.6,32.75,0.5,30,967.5,1236.03,-268.53,Revert,2026-02
20260223,2026-02-23 12:29:00+05:30,2026-02-23 12:30:00+05:30,1,-1 (long synth),61400,128.4,453.75,61100.0,121.3,473.75,61045.2,-25.35,2.35,30,831.0,1222.05,-391.05,Revert,2026-02
20260223,2026-02-23 12:46:00+05:30,2026-02-23 12:49:00+05:30,3,-1 (long synth),61400,156.45,383.8,61204.2,145.25,402.1,61143.4,-31.55,-0.25,30,939.0,1220.84,-281.84,Revert,2026-02
20260224,2026-02-24 14:22:00+05:30,2026-02-24 14:24:00+05:30,2,-1 (long synth),61200,57.2,126.1,61160.0,23.8,189.2,61030.8,-28.9,3.8,30,981.0,1194.68,-213.68,Revert,2026-02
20260226,2026-02-26 10:55:00+05:30,2026-02-26 10:56:00+05:30,1,-1 (long synth),61500,768.65,870.1,61430.0,763.6,880.0,61386.0,-31.45,-2.4,30,871.5,1302.85,-431.35,Revert,2026-02
20260302,2026-03-02 11:08:00+05:30,2026-03-02 11:12:00+05:30,4,+1 (short synth),60600,733.6,1051.2,60253.6,713.55,1071.8,60238.4,28.8,3.35,30,763.5,1293.24,-529.74,Revert,2026-03
20260302,2026-03-02 11:51:00+05:30,2026-03-02 11:53:00+05:30,2,+1 (short synth),60600,711.0,1076.2,60207.0,705.7,1098.15,60204.4,27.8,3.15,30,739.5,1292.62,-553.12,Revert,2026-03
20260302,2026-03-02 12:08:00+05:30,2026-03-02 12:09:00+05:30,1,+1 (short synth),60600,700.25,1112.75,60162.0,695.85,1122.75,60168.6,25.5,4.5,30,630.0,1293.69,-663.69,Revert,2026-03
20260302,2026-03-02 12:47:00+05:30,2026-03-02 12:50:00+05:30,3,+1 (short synth),60600,685.7,1184.05,60071.2,681.9,1210.0,60071.8,30.45,0.1,30,910.5,1296.18,-385.68,Revert,2026-03
20260302,2026-03-02 13:02:00+05:30,2026-03-02 13:32:00+05:30,30,+1 (short synth),60600,695.9,1190.0,60080.6,639.6,1275.05,59950.0,25.3,14.55,30,322.5,1297.49,-974.99,MaxHold,2026-03
20260302,2026-03-02 13:39:00+05:30,2026-03-02 14:05:00+05:30,26,+1 (short synth),60600,651.95,1261.8,59960.6,664.35,1231.85,60028.0,29.55,4.5,30,751.5,1297.43,-545.93,Revert,2026-03
20260302,2026-03-02 14:08:00+05:30,2026-03-02 14:12:00+05:30,4,+1 (short synth),60600,681.9,1191.3,60048.0,710.45,1186.0,60121.2,42.6,3.25,30,1180.5,1296.03,-115.53,Revert,2026-03
20260302,2026-03-02 14:31:00+05:30,2026-03-02 14:35:00+05:30,4,+1 (short synth),60600,696.75,1219.0,60046.8,728.05,1149.4,60180.0,30.95,-1.35,30,969.0,1299.04,-330.04,Revert,2026-03
20260302,2026-03-02 14:49:00+05:30,2026-03-02 14:50:00+05:30,1,+1 (short synth),60600,744.15,1088.95,60229.4,743.3,1090.55,60252.2,25.8,0.55,30,757.5,1296.27,-538.77,Revert,2026-03
20260302,2026-03-02 14:57:00+05:30,2026-03-02 15:04:00+05:30,7,+1 (short synth),60600,724.8,1109.25,60180.0,709.65,1122.15,60182.8,35.55,4.7,30,925.5,1295.49,-369.99,Revert,2026-03
20260302,2026-03-02 15:23:00+05:30,2026-03-02 15:24:00+05:30,1,+1 (short synth),60600,739.2,1103.0,60208.6,736.95,1104.45,60214.8,27.6,17.7,30,297.0,1296.56,-999.56,EOD,2026-03
20260304,2026-03-04 09:32:00+05:30,2026-03-04 09:35:00+05:30,3,+1 (short synth),59200,1084.8,1127.55,59131.4,1054.35,1179.8,59072.6,25.85,1.95,30,717.0,1304.58,-587.58,Revert,2026-03
20260304,2026-03-04 09:46:00+05:30,2026-03-04 10:16:00+05:30,30,+1 (short synth),59200,1048.35,1179.0,59040.0,1026.75,1171.2,59043.4,29.35,12.15,30,516.0,1304.1,-788.1,MaxHold,2026-03
20260304,2026-03-04 10:17:00+05:30,2026-03-04 10:20:00+05:30,3,+1 (short synth),59200,1012.55,1184.7,58993.8,1031.45,1167.65,59060.4,34.05,3.4,30,919.5,1301.17,-381.67,Revert,2026-03
20260304,2026-03-04 10:25:00+05:30,2026-03-04 10:31:00+05:30,6,+1 (short synth),59200,1022.7,1169.4,59028.2,1018.0,1168.55,59048.0,25.1,1.45,30,709.5,1301.39,-591.89,Revert,2026-03
20260304,2026-03-04 10:32:00+05:30,2026-03-04 11:02:00+05:30,30,+1 (short synth),59200,1015.95,1173.0,59016.2,1006.55,1189.1,58991.6,26.75,25.85,30,27.0,1300.96,-1273.96,MaxHold,2026-03
20260304,2026-03-04 11:02:00+05:30,2026-03-04 11:10:00+05:30,8,+1 (short synth),59200,1006.55,1189.1,58991.6,1028.8,1171.0,59057.4,25.85,0.4,30,763.5,1301.02,-537.52,Revert,2026-03
20260304,2026-03-04 11:16:00+05:30,2026-03-04 11:35:00+05:30,19,+1 (short synth),59200,1009.9,1209.45,58974.4,987.05,1264.55,58922.8,26.05,-0.3,30,790.5,1302.41,-511.91,Revert,2026-03
20260304,2026-03-04 11:36:00+05:30,2026-03-04 11:39:00+05:30,3,+1 (short synth),59200,987.0,1243.2,58916.6,986.35,1261.7,58927.8,27.2,-3.15,30,910.5,1302.2,-391.7,Revert,2026-03
20260304,2026-03-04 11:44:00+05:30,2026-03-04 12:04:00+05:30,20,+1 (short synth),59200,988.05,1274.0,58880.0,991.35,1270.55,58919.2,34.05,1.6,30,973.5,1303.84,-330.34,Revert,2026-03
20260304,2026-03-04 12:12:00+05:30,2026-03-04 12:30:00+05:30,18,+1 (short synth),59200,984.7,1267.9,58888.4,976.7,1291.05,58889.0,28.4,-3.35,30,952.5,1303.31,-350.81,Revert,2026-03
20260304,2026-03-04 12:37:00+05:30,2026-03-04 12:39:00+05:30,2,+1 (short synth),59200,992.4,1257.8,58903.6,984.95,1274.35,58905.8,31.0,4.8,30,786.0,1303.4,-517.4,Revert,2026-03
20260304,2026-03-04 12:41:00+05:30,2026-03-04 12:42:00+05:30,1,+1 (short synth),59200,982.8,1274.35,58880.2,973.95,1290.85,58880.0,28.25,3.1,30,754.5,1303.5,-549.0,Revert,2026-03
20260304,2026-03-04 13:00:00+05:30,2026-03-04 13:09:00+05:30,9,+1 (short synth),59200,1008.75,1212.0,58967.4,1021.75,1212.15,59013.4,29.35,-3.8,30,994.5,1302.39,-307.89,Revert,2026-03
20260304,2026-03-04 13:17:00+05:30,2026-03-04 13:19:00+05:30,2,+1 (short synth),59200,1032.2,1182.95,59021.4,1022.0,1192.85,59027.4,27.85,1.75,30,783.0,1302.91,-519.91,Revert,2026-03
20260304,2026-03-04 13:22:00+05:30,2026-03-04 13:29:00+05:30,7,+1 (short synth),59200,1022.7,1178.25,59018.8,1030.4,1192.35,59038.0,25.65,0.05,30,768.0,1301.86,-533.86,Revert,2026-03
20260304,2026-03-04 13:36:00+05:30,2026-03-04 14:04:00+05:30,28,+1 (short synth),59200,1036.2,1187.45,59021.2,1050.2,1181.5,59065.0,27.55,3.7,30,715.5,1303.51,-588.01,Revert,2026-03
20260304,2026-03-04 14:08:00+05:30,2026-03-04 14:38:00+05:30,30,+1 (short synth),59200,1072.3,1160.35,59086.8,1156.15,1116.25,59228.0,25.15,11.9,30,397.5,1305.27,-907.77,MaxHold,2026-03
20260304,2026-03-04 14:42:00+05:30,2026-03-04 14:51:00+05:30,9,+1 (short synth),59200,1187.25,1095.15,59266.8,1235.85,1072.15,59360.4,25.3,3.3,30,660.0,1311.87,-651.87,Revert,2026-03
20260304,2026-03-04 14:58:00+05:30,2026-03-04 15:24:00+05:30,26,+1 (short synth),59200,1216.45,1090.25,59291.0,1073.1,1162.65,59083.0,35.2,27.45,30,232.5,1314.01,-1081.51,EOD,2026-03
