date,opt_type,direction,strike,entry_time,exit_time,opt_entry,opt_exit,lot_size,gross_pnl,charges,pnl,exit_reason,month
20260204,CE,LONG,25650,2026-02-04 11:12:00.394000+05:30,2026-02-04 13:25:00.264000+05:30,213.8,229.85,65,1043.25,82.17,961.08,Flip,2026-02
20260204,CE,SHORT,25650,2026-02-04 13:25:00.264000+05:30,2026-02-04 15:22:00.410000+05:30,229.85,234.0,65,-269.75,82.76,-352.51,Flip,2026-02
20260204,CE,LONG,25650,2026-02-04 15:22:00.410000+05:30,2026-02-04 15:25:59.755000+05:30,234.0,233.55,65,-29.25,83.22,-112.47,EOD,2026-02
20260204,PE,LONG,25650,2026-02-04 12:11:00.799000+05:30,2026-02-04 15:08:00.672000+05:30,111.6,97.2,65,-936.0,62.61,-998.61,Flip,2026-02
20260204,PE,SHORT,25650,2026-02-04 15:08:00.672000+05:30,2026-02-04 15:25:59.556000+05:30,97.2,108.8,65,-754.0,62.53,-816.53,EOD,2026-02
20260205,CE,LONG,25700,2026-02-05 10:39:00.867000+05:30,2026-02-05 14:56:00.426000+05:30,121.5,114.75,65,-438.75,65.09,-503.84,Flip,2026-02
20260205,CE,SHORT,25700,2026-02-05 14:56:00.426000+05:30,2026-02-05 15:25:58.959000+05:30,114.75,113.5,65,81.25,64.86,16.39,EOD,2026-02
20260205,PE,LONG,25700,2026-02-05 11:44:00.352000+05:30,2026-02-05 12:18:01.098000+05:30,140.9,171.45,65,1985.75,72.74,1913.01,Flip,2026-02
20260205,PE,SHORT,25700,2026-02-05 12:18:01.098000+05:30,2026-02-05 14:56:00.425000+05:30,171.45,154.75,65,1085.5,73.15,1012.35,Flip,2026-02
20260205,PE,LONG,25700,2026-02-05 14:56:00.425000+05:30,2026-02-05 15:25:58.959000+05:30,154.75,157.95,65,208.0,71.46,136.54,EOD,2026-02
20260206,CE,LONG,25600,2026-02-06 10:30:00.148000+05:30,2026-02-06 11:11:00.840000+05:30,76.4,94.95,65,1205.75,61.3,1144.45,Flip,2026-02
20260206,CE,SHORT,25600,2026-02-06 11:11:00.840000+05:30,2026-02-06 12:22:00.484000+05:30,94.95,101.45,65,-422.5,62.03,-484.53,Flip,2026-02
20260206,CE,LONG,25600,2026-02-06 12:22:00.484000+05:30,2026-02-06 13:49:00.163000+05:30,101.45,101.7,65,16.25,62.87,-46.62,Flip,2026-02
20260206,CE,SHORT,25600,2026-02-06 13:49:00.163000+05:30,2026-02-06 15:25:59.195000+05:30,101.7,146.0,65,-2879.5,64.18,-2943.68,EOD,2026-02
20260206,PE,LONG,25600,2026-02-06 11:15:00.913000+05:30,2026-02-06 12:22:00.484000+05:30,121.85,111.85,65,-650.0,64.74,-714.74,Flip,2026-02
20260206,PE,SHORT,25600,2026-02-06 12:22:00.484000+05:30,2026-02-06 13:39:00.265000+05:30,111.85,106.6,65,341.25,64.29,276.96,Flip,2026-02
20260206,PE,LONG,25600,2026-02-06 13:39:00.265000+05:30,2026-02-06 15:25:59.194000+05:30,106.6,73.8,65,-2132.0,59.54,-2191.54,EOD,2026-02
20260209,CE,LONG,25850,2026-02-09 11:53:00.818000+05:30,2026-02-09 14:24:00.135000+05:30,72.35,79.5,65,464.75,59.25,405.5,Flip,2026-02
20260209,CE,SHORT,25850,2026-02-09 14:24:00.135000+05:30,2026-02-09 15:25:59.839000+05:30,79.5,74.55,65,321.75,59.31,262.44,EOD,2026-02
20260209,PE,LONG,25850,2026-02-09 10:45:00.237000+05:30,2026-02-09 11:55:00.188000+05:30,71.15,78.05,65,448.5,59.03,389.47,Flip,2026-02
20260209,PE,SHORT,25850,2026-02-09 11:55:00.188000+05:30,2026-02-09 13:10:00.064000+05:30,78.05,65.8,65,796.25,58.88,737.37,Flip,2026-02
20260209,PE,LONG,25850,2026-02-09 13:10:00.064000+05:30,2026-02-09 15:25:59.839000+05:30,65.8,67.1,65,84.5,57.51,26.99,EOD,2026-02
20260210,CE,LONG,25900,2026-02-10 11:38:00.299000+05:30,2026-02-10 12:48:00.684000+05:30,61.05,77.95,65,1098.5,58.72,1039.78,Flip,2026-02
20260210,CE,SHORT,25900,2026-02-10 12:48:00.684000+05:30,2026-02-10 13:19:00.391000+05:30,77.95,65.0,65,841.75,58.84,782.91,Flip,2026-02
20260210,CE,LONG,25900,2026-02-10 13:19:00.391000+05:30,2026-02-10 15:02:00.206000+05:30,65.0,61.0,65,-260.0,56.72,-316.72,Flip,2026-02
20260210,CE,SHORT,25900,2026-02-10 15:02:00.206000+05:30,2026-02-10 15:25:59.759000+05:30,61.0,33.9,65,1761.5,55.81,1705.69,EOD,2026-02
20260211,CE,LONG,26000,2026-02-11 10:01:00.679000+05:30,2026-02-11 10:40:00.363000+05:30,110.85,127.05,65,1053.0,66.31,986.69,Flip,2026-02
20260211,CE,SHORT,26000,2026-02-11 10:40:00.363000+05:30,2026-02-11 11:09:00.411000+05:30,127.05,108.7,65,1192.75,66.25,1126.5,Flip,2026-02
20260211,CE,LONG,26000,2026-02-11 11:09:00.411000+05:30,2026-02-11 13:39:00.719000+05:30,108.7,106.6,65,-136.5,63.7,-200.2,Flip,2026-02
20260211,CE,SHORT,26000,2026-02-11 13:39:00.719000+05:30,2026-02-11 13:52:00.751000+05:30,106.6,94.1,65,812.5,63.27,749.23,Flip,2026-02
20260211,CE,LONG,26000,2026-02-11 13:52:00.751000+05:30,2026-02-11 14:19:00.181000+05:30,94.1,109.8,65,1020.5,63.67,956.83,Flip,2026-02
20260211,CE,SHORT,26000,2026-02-11 14:19:00.181000+05:30,2026-02-11 15:25:59.463000+05:30,109.8,105.55,65,276.25,64.01,212.24,EOD,2026-02
20260211,PE,LONG,26000,2026-02-11 10:38:01.169000+05:30,2026-02-11 12:25:00.163000+05:30,117.85,136.0,65,1179.75,67.64,1112.11,Flip,2026-02
20260211,PE,SHORT,26000,2026-02-11 12:25:00.163000+05:30,2026-02-11 13:42:00.191000+05:30,136.0,122.2,65,897.0,67.77,829.23,Flip,2026-02
20260211,PE,LONG,26000,2026-02-11 13:42:00.191000+05:30,2026-02-11 15:25:59.464000+05:30,122.2,137.4,65,988.0,67.94,920.06,EOD,2026-02
20260212,CE,LONG,25900,2026-02-12 11:17:00.687000+05:30,2026-02-12 12:54:00.379000+05:30,93.9,96.1,65,143.0,61.95,81.05,Flip,2026-02
20260212,CE,SHORT,25900,2026-02-12 12:54:00.379000+05:30,2026-02-12 13:13:00.286000+05:30,96.1,87.25,65,575.25,61.76,513.49,Flip,2026-02
20260212,CE,LONG,25900,2026-02-12 13:13:00.286000+05:30,2026-02-12 13:26:00.741000+05:30,87.25,98.9,65,757.25,62.11,695.14,Flip,2026-02
20260212,CE,SHORT,25900,2026-02-12 13:26:00.741000+05:30,2026-02-12 13:50:00.596000+05:30,98.9,83.75,65,984.75,62.01,922.74,Flip,2026-02
20260212,CE,LONG,25900,2026-02-12 13:50:00.596000+05:30,2026-02-12 15:04:00.094000+05:30,83.75,83.05,65,-45.5,60.03,-105.53,Flip,2026-02
20260212,CE,SHORT,25900,2026-02-12 15:04:00.094000+05:30,2026-02-12 15:25:59.998000+05:30,83.05,78.2,65,315.25,59.86,255.39,EOD,2026-02
20260212,PE,LONG,25900,2026-02-12 10:21:00.512000+05:30,2026-02-12 11:23:00.737000+05:30,104.65,129.05,65,1586.0,66.38,1519.62,Flip,2026-02
20260212,PE,SHORT,25900,2026-02-12 11:23:00.737000+05:30,2026-02-12 12:33:01.250000+05:30,129.05,119.55,65,617.5,66.82,550.68,Flip,2026-02
20260212,PE,LONG,25900,2026-02-12 12:33:01.250000+05:30,2026-02-12 13:15:00.271000+05:30,119.55,129.25,65,630.5,66.84,563.66,Flip,2026-02
20260212,PE,SHORT,25900,2026-02-12 13:15:00.271000+05:30,2026-02-12 13:19:00.052000+05:30,129.25,111.3,65,1166.75,66.6,1100.15,Flip,2026-02
20260212,PE,LONG,25900,2026-02-12 13:19:00.052000+05:30,2026-02-12 13:50:00.697000+05:30,111.3,129.2,65,1163.5,66.6,1096.9,Flip,2026-02
20260212,PE,SHORT,25900,2026-02-12 13:50:00.697000+05:30,2026-02-12 15:04:00.095000+05:30,129.2,134.05,65,-315.25,67.26,-382.51,Flip,2026-02
20260212,PE,LONG,25900,2026-02-12 15:04:00.095000+05:30,2026-02-12 15:25:59.998000+05:30,134.05,145.4,65,737.75,69.29,668.46,EOD,2026-02
20260213,CE,LONG,25600,2026-02-13 11:08:00.998000+05:30,2026-02-13 12:07:00.054000+05:30,85.6,93.95,65,542.75,61.44,481.31,Flip,2026-02
20260213,CE,SHORT,25600,2026-02-13 12:07:00.054000+05:30,2026-02-13 13:02:00.455000+05:30,93.95,83.9,65,653.25,61.39,591.86,Flip,2026-02
20260213,CE,LONG,25600,2026-02-13 13:02:00.455000+05:30,2026-02-13 15:25:59.090000+05:30,83.9,70.05,65,-900.25,58.41,-958.66,EOD,2026-02
20260213,PE,LONG,25600,2026-02-13 12:27:01.042000+05:30,2026-02-13 13:03:00.350000+05:30,99.75,118.2,65,1199.25,64.88,1134.37,Flip,2026-02
20260213,PE,SHORT,25600,2026-02-13 13:03:00.350000+05:30,2026-02-13 15:25:59.981000+05:30,118.2,180.55,65,-4052.75,67.25,-4120.0,EOD,2026-02
20260216,CE,LONG,25450,2026-02-16 11:55:00.030000+05:30,2026-02-16 12:11:00.372000+05:30,118.45,148.25,65,1937.0,69.18,1867.82,Flip,2026-02
20260216,CE,SHORT,25450,2026-02-16 12:11:00.372000+05:30,2026-02-16 15:25:59.961000+05:30,148.25,269.7,65,-7894.25,73.62,-7967.87,EOD,2026-02
20260216,PE,LONG,25450,2026-02-16 10:03:00.019000+05:30,2026-02-16 13:57:00.941000+05:30,53.3,37.35,65,-1036.75,53.43,-1090.18,Flip,2026-02
20260217,CE,LONG,25600,2026-02-17 10:45:00.056000+05:30,2026-02-17 11:33:00.592000+05:30,81.95,117.2,65,2291.25,64.24,2227.01,Flip,2026-02
20260217,CE,SHORT,25600,2026-02-17 11:33:00.592000+05:30,2026-02-17 13:05:01.091000+05:30,117.2,122.65,65,-354.25,65.43,-419.68,Flip,2026-02
20260217,CE,LONG,25600,2026-02-17 13:05:01.091000+05:30,2026-02-17 15:25:58.834000+05:30,122.65,125.8,65,204.75,66.5,138.25,EOD,2026-02
20260218,CE,LONG,25700,2026-02-18 10:28:00.824000+05:30,2026-02-18 11:35:00.343000+05:30,126.0,151.8,65,1677.0,69.85,1607.15,Flip,2026-02
20260218,CE,SHORT,25700,2026-02-18 11:35:00.343000+05:30,2026-02-18 15:25:59.858000+05:30,151.8,209.2,65,-3731.0,72.29,-3803.29,EOD,2026-02
20260218,PE,LONG,25700,2026-02-18 11:11:00.518000+05:30,2026-02-18 15:25:59.858000+05:30,123.3,82.95,65,-2622.75,61.17,-2683.92,EOD,2026-02
20260219,CE,LONG,25850,2026-02-19 11:14:00.553000+05:30,2026-02-19 15:25:59.888000+05:30,75.1,29.6,65,-2957.5,53.1,-3010.6,EOD,2026-02
20260220,CE,LONG,25450,2026-02-20 12:47:01.134000+05:30,2026-02-20 14:18:00.848000+05:30,242.1,253.1,65,715.0,85.9,629.1,Flip,2026-02
20260220,CE,SHORT,25450,2026-02-20 14:18:00.848000+05:30,2026-02-20 15:08:00.057000+05:30,253.1,212.85,65,2616.25,85.05,2531.2,Flip,2026-02
20260220,CE,LONG,25450,2026-02-20 15:08:00.057000+05:30,2026-02-20 15:25:59.974000+05:30,212.85,204.8,65,-523.25,79.01,-602.26,EOD,2026-02
20260220,PE,LONG,25450,2026-02-20 10:41:00.414000+05:30,2026-02-20 12:45:00.757000+05:30,78.0,69.7,65,-539.5,58.19,-597.69,Flip,2026-02
20260220,PE,SHORT,25450,2026-02-20 12:45:00.757000+05:30,2026-02-20 14:17:00.683000+05:30,69.7,64.9,65,312.0,57.81,254.19,Flip,2026-02
20260220,PE,LONG,25450,2026-02-20 14:17:00.683000+05:30,2026-02-20 15:06:01.248000+05:30,64.9,76.3,65,741.0,58.63,682.37,Flip,2026-02
20260220,PE,SHORT,25450,2026-02-20 15:06:01.248000+05:30,2026-02-20 15:25:59.973000+05:30,76.3,78.9,65,-169.0,59.04,-228.04,EOD,2026-02
20260223,CE,LONG,25650,2026-02-23 10:41:01.478000+05:30,2026-02-23 14:30:00.185000+05:30,118.85,102.65,65,-1053.0,63.5,-1116.5,Flip,2026-02
20260223,CE,SHORT,25650,2026-02-23 14:30:00.185000+05:30,2026-02-23 15:25:59.763000+05:30,102.65,116.0,65,-867.75,63.42,-931.17,EOD,2026-02
20260223,PE,LONG,25650,2026-02-23 14:30:00.186000+05:30,2026-02-23 15:25:59.760000+05:30,76.6,64.05,65,-815.75,57.44,-873.19,EOD,2026-02
20260224,PE,LONG,25600,2026-02-24 11:13:00.364000+05:30,2026-02-24 12:00:00.657000+05:30,104.3,141.45,65,2414.75,67.92,2346.83,Flip,2026-02
20260224,PE,SHORT,25600,2026-02-24 12:00:00.657000+05:30,2026-02-24 14:12:01.471000+05:30,141.45,167.5,65,-1693.25,69.77,-1763.02,Flip,2026-02
20260224,PE,LONG,25600,2026-02-24 14:12:01.471000+05:30,2026-02-24 15:25:59.894000+05:30,167.5,174.5,65,455.0,73.9,381.1,EOD,2026-02
20260225,CE,LONG,25550,2026-02-25 11:14:00.654000+05:30,2026-02-25 14:20:00.407000+05:30,195.35,127.1,65,-4436.25,68.8,-4505.05,Flip,2026-02
20260225,CE,SHORT,25550,2026-02-25 14:20:00.407000+05:30,2026-02-25 15:25:59.648000+05:30,127.1,126.9,65,13.0,66.79,-53.79,EOD,2026-02
20260225,PE,SHORT,25550,2026-02-25 11:24:00.683000+05:30,2026-02-25 15:03:00.346000+05:30,100.95,158.4,65,-3734.25,64.45,-3798.7,Flip,2026-02
20260225,PE,LONG,25550,2026-02-25 15:03:00.346000+05:30,2026-02-25 15:25:59.647000+05:30,158.4,167.05,65,562.25,72.7,489.55,EOD,2026-02
20260226,CE,LONG,25550,2026-02-26 10:57:00.406000+05:30,2026-02-26 11:26:00.386000+05:30,112.2,141.3,65,1891.5,68.13,1823.37,Flip,2026-02
20260226,CE,SHORT,25550,2026-02-26 11:26:00.386000+05:30,2026-02-26 11:39:00.010000+05:30,141.3,111.6,65,1930.5,68.12,1862.38,Flip,2026-02
20260226,CE,LONG,25550,2026-02-26 11:39:00.010000+05:30,2026-02-26 14:37:00.948000+05:30,111.6,87.85,65,-1543.75,61.44,-1605.19,Flip,2026-02
20260226,CE,SHORT,25550,2026-02-26 14:37:00.948000+05:30,2026-02-26 15:25:59.740000+05:30,87.85,100.6,65,-828.75,61.12,-889.87,EOD,2026-02
20260226,PE,LONG,25550,2026-02-26 11:26:00.384000+05:30,2026-02-26 11:40:00.101000+05:30,103.8,134.85,65,2018.25,67.08,1951.17,Flip,2026-02
20260226,PE,SHORT,25550,2026-02-26 11:40:00.101000+05:30,2026-02-26 14:34:00.047000+05:30,134.85,162.75,65,-1813.5,68.81,-1882.31,Flip,2026-02
20260226,PE,LONG,25550,2026-02-26 14:34:00.047000+05:30,2026-02-26 15:25:59.740000+05:30,162.75,137.45,65,-1644.5,69.14,-1713.64,EOD,2026-02
20260227,CE,LONG,25400,2026-02-27 11:35:00.245000+05:30,2026-02-27 13:56:00.787000+05:30,63.6,77.4,65,897.0,58.73,838.27,Flip,2026-02
20260227,CE,SHORT,25400,2026-02-27 13:56:00.787000+05:30,2026-02-27 14:33:00.885000+05:30,77.4,56.85,65,1335.75,58.53,1277.22,Flip,2026-02
20260227,CE,LONG,25400,2026-02-27 14:33:00.885000+05:30,2026-02-27 15:25:59.219000+05:30,56.85,39.0,65,-1160.25,53.74,-1213.99,EOD,2026-02
20260227,PE,LONG,25400,2026-02-27 13:48:00.227000+05:30,2026-02-27 15:01:00.481000+05:30,141.75,194.95,65,3458.0,75.7,3382.3,Flip,2026-02
20260227,PE,SHORT,25400,2026-02-27 15:01:00.481000+05:30,2026-02-27 15:25:59.068000+05:30,194.95,227.45,65,-2112.5,78.21,-2190.71,EOD,2026-02
20260302,CE,LONG,24850,2026-03-02 10:37:00.577000+05:30,2026-03-02 14:04:00.749000+05:30,64.4,4.1,65,-3919.5,49.6,-3969.1,Flip,2026-03
20260302,PE,LONG,24850,2026-03-02 14:04:00.746000+05:30,2026-03-02 15:25:59.232000+05:30,180.0,0.05,65,-11696.75,52.48,-11749.23,EOD,2026-03
20260304,CE,LONG,24400,2026-03-04 11:30:00.483000+05:30,2026-03-04 13:01:00.747000+05:30,304.5,326.95,65,1459.25,96.95,1362.3,Flip,2026-03
20260304,CE,SHORT,24400,2026-03-04 13:01:00.747000+05:30,2026-03-04 15:07:00.028000+05:30,326.95,383.25,65,-3659.5,99.26,-3758.76,Flip,2026-03
20260304,CE,LONG,24400,2026-03-04 15:07:00.028000+05:30,2026-03-04 15:25:59.837000+05:30,383.25,357.7,65,-1660.75,103.1,-1763.85,EOD,2026-03
20260304,PE,LONG,24400,2026-03-04 10:15:00.684000+05:30,2026-03-04 11:31:00.381000+05:30,292.75,318.1,65,1647.75,95.5,1552.25,Flip,2026-03
20260304,PE,SHORT,24400,2026-03-04 11:31:00.381000+05:30,2026-03-04 13:08:00.167000+05:30,318.1,280.9,65,2418.0,95.16,2322.84,Flip,2026-03
20260304,PE,LONG,24400,2026-03-04 13:08:00.167000+05:30,2026-03-04 15:10:00.322000+05:30,280.9,283.0,65,136.5,90.77,45.73,Flip,2026-03
20260304,PE,SHORT,24400,2026-03-04 15:10:00.322000+05:30,2026-03-04 15:25:59.837000+05:30,283.0,284.7,65,-110.5,90.89,-201.39,EOD,2026-03
20260305,CE,LONG,24600,2026-03-05 10:27:00.876000+05:30,2026-03-05 10:43:00.191000+05:30,211.5,255.9,65,2886.0,85.36,2800.64,Flip,2026-03
20260305,CE,SHORT,24600,2026-03-05 10:43:00.191000+05:30,2026-03-05 11:37:01.089000+05:30,255.9,223.55,65,2102.75,85.71,2017.04,Flip,2026-03
20260305,CE,LONG,24600,2026-03-05 11:37:01.089000+05:30,2026-03-05 12:22:00.680000+05:30,223.55,244.1,65,1335.75,84.24,1251.51,Flip,2026-03
20260305,CE,SHORT,24600,2026-03-05 12:22:00.680000+05:30,2026-03-05 13:52:00.966000+05:30,244.1,219.6,65,1592.5,84.12,1508.38,Flip,2026-03
20260305,CE,LONG,24600,2026-03-05 13:52:00.966000+05:30,2026-03-05 14:37:00.202000+05:30,219.6,228.0,65,546.0,82.11,463.89,Flip,2026-03
20260305,CE,SHORT,24600,2026-03-05 14:37:00.202000+05:30,2026-03-05 15:25:59.736000+05:30,228.0,291.55,65,-4130.75,84.22,-4214.97,EOD,2026-03
20260305,PE,LONG,24600,2026-03-05 10:40:00.538000+05:30,2026-03-05 11:37:01.089000+05:30,214.75,228.1,65,867.75,81.98,785.77,Flip,2026-03
20260305,PE,SHORT,24600,2026-03-05 11:37:01.089000+05:30,2026-03-05 12:21:00.575000+05:30,228.1,210.9,65,1118.0,81.87,1036.13,Flip,2026-03
20260305,PE,LONG,24600,2026-03-05 12:21:00.575000+05:30,2026-03-05 13:42:00.932000+05:30,210.9,219.95,65,588.25,80.85,507.4,Flip,2026-03
20260305,PE,SHORT,24600,2026-03-05 13:42:00.932000+05:30,2026-03-05 14:29:00.284000+05:30,219.95,205.9,65,913.25,80.7,832.55,Flip,2026-03
20260305,PE,LONG,24600,2026-03-05 14:29:00.284000+05:30,2026-03-05 15:15:00.474000+05:30,205.9,172.7,65,-2158.0,74.8,-2232.8,Flip,2026-03
20260305,PE,SHORT,24600,2026-03-05 15:15:00.474000+05:30,2026-03-05 15:25:59.735000+05:30,172.7,169.15,65,230.75,73.72,157.03,EOD,2026-03
20260306,CE,LONG,24600,2026-03-06 10:49:00.253000+05:30,2026-03-06 13:38:00.358000+05:30,215.25,226.65,65,741.0,81.81,659.19,Flip,2026-03
20260306,CE,SHORT,24600,2026-03-06 13:38:00.358000+05:30,2026-03-06 14:43:00.606000+05:30,226.65,192.75,65,2203.5,81.15,2122.35,Flip,2026-03
20260306,CE,LONG,24600,2026-03-06 14:43:00.606000+05:30,2026-03-06 15:25:59.832000+05:30,192.75,151.55,65,-2678.0,71.78,-2749.78,EOD,2026-03
20260309,CE,LONG,23900,2026-03-09 10:26:00.985000+05:30,2026-03-09 10:52:01.071000+05:30,148.4,188.7,65,2619.5,75.11,2544.39,Flip,2026-03
20260309,CE,SHORT,23900,2026-03-09 10:52:01.071000+05:30,2026-03-09 15:25:59.522000+05:30,188.7,262.15,65,-4774.25,78.45,-4852.7,EOD,2026-03
20260309,PE,LONG,23900,2026-03-09 10:52:01.072000+05:30,2026-03-09 15:25:59.521000+05:30,201.6,141.8,65,-3887.0,70.82,-3957.82,EOD,2026-03
20260310,CE,LONG,24200,2026-03-10 11:57:00.396000+05:30,2026-03-10 12:55:00.496000+05:30,56.75,68.5,65,763.75,57.42,706.33,Flip,2026-03
